Caltech Behavior Annotator - Annotation File

Configuration file:
other	o
attack	a
approach	b
chasing	c
dig	d
escape	e
general-sniffing	f
sniff_female	p
sniff_face	w
selfgrooming	g
socialgrooming	h
defend	i
exploreobj	j
climb	k
follow	l
mount	m
biteobj	n
flinch	r
stand	s
punch	t
threaten	u
follow_female	v
human_interfere	x
tussling	y

S1:	start	end	type
   	9131	9147	general-sniffing
   	9148	9314	other
   	9315	9331	escape
   	9332	9926	other
   	9927	9956	escape
   	9957	10023	other
   	10024	10068	approach
   	10069	10081	other
   	10082	10090	general-sniffing
   	10091	10296	other
   	10297	10347	approach
   	10348	10354	general-sniffing
   	10355	10395	other
   	10396	10407	general-sniffing
   	10408	10423	other
   	10424	10452	general-sniffing
   	10453	11162	other
   	11163	11174	general-sniffing
   	11175	11716	other
   	11717	11722	general-sniffing
   	11723	11950	other
   	11951	11963	general-sniffing
   	11964	11969	flinch
   	11970	11980	other
   	11981	12016	approach
   	12017	12022	general-sniffing
   	12023	12128	other
   	12129	12153	escape
   	12154	12164	other
   	12165	12171	general-sniffing
   	12172	12450	other
   	12451	12459	general-sniffing
   	12460	12527	approach
   	12528	12540	general-sniffing
   	12541	12653	other
   	12654	12656	general-sniffing
   	12657	12772	other
   	12773	12784	general-sniffing
   	12785	13421	other
   	13422	13435	general-sniffing
   	13436	14082	other
   	14083	14136	escape
   	14137	14296	other
   	14297	14302	flinch
   	14303	14325	defend
   	14326	14487	escape
   	14488	14513	other
   	14514	14531	sniff_face
   	14532	15314	other
   	15315	15339	approach
   	15340	15432	other
   	15433	15435	general-sniffing
   	15436	15454	other
   	15455	15475	general-sniffing
   	15476	15619	other
   	15620	15688	sniff_face
   	15689	16092	other
   	16093	16107	general-sniffing
   	16108	16161	other
   	16162	16184	approach
   	16185	16191	general-sniffing
   	16192	16308	other
   	16309	16358	sniff_face
   	16359	16465	other
   	16466	16494	approach
   	16495	16498	general-sniffing
   	16499	16500	other
   	16501	16525	approach
   	16526	16529	general-sniffing
   	16530	16907	other
   	16908	16913	general-sniffing
   	16914	17643	other
   	17644	17713	approach
   	17714	17725	general-sniffing
   	17726	17764	other
   	17765	17797	approach
   	17798	17966	other
   	17967	18027	approach
   	18028	18031	sniff_face
   	18032	18378	other
   	18379	18383	sniff_face
   	18384	18957	other
   	18958	18985	approach
   	18986	18992	sniff_face
   	18993	18997	other
   	18998	19021	approach
   	19022	19050	general-sniffing
   	19051	19344	other
   	19345	19370	escape
   	19371	19402	defend
   	19403	19430	escape
   	19431	19476	defend
   	19477	19498	escape
   	19499	19508	defend
   	19509	19595	escape
   	19596	19624	defend
   	19625	19644	escape
   	19645	19657	other
   	19658	19668	escape
   	19669	19678	other
   	19679	19731	escape
   	19732	20487	other
   	20488	20496	sniff_face
   	20497	20737	other
   	20738	20763	approach
   	20764	20878	other
   	20879	20881	sniff_face
   	20882	21101	other
   	21102	21150	approach
   	21151	21173	other
   	21174	21186	sniff_face
   	21187	21198	other
   	21199	21211	general-sniffing
   	21212	21223	other
   	21224	21232	sniff_female
   	21233	21592	other
   	21593	21651	approach
   	21652	22243	other
   	22244	22290	approach
   	22291	22303	general-sniffing
   	22304	22304	other
   	22305	22328	approach
   	22329	23104	other
   	23105	23207	escape
   	23208	23220	other
   	23221	23241	escape
   	23242	23336	other
   	23337	23377	approach
   	23378	23379	other
   	23380	23403	approach
   	23404	23420	general-sniffing
   	23421	24045	other
   	24046	24061	approach
   	24062	24063	general-sniffing
   	24064	24690	other
   	24691	24746	approach
   	24747	24799	other
   	24800	24816	escape
   	24817	26401	other
   	26402	26425	defend
   	26426	26430	flinch
   	26431	27971	other
   	27972	27997	approach
   	27998	28024	general-sniffing
   	28025	28291	other
   	28292	28305	approach
   	28306	29123	other
   	29124	29411	escape
   	29412	29513	other
   	29514	29620	escape
   	29621	29634	defend
   	29635	29903	escape
   	29904	30030	defend
   	30031	30066	escape
   	30067	30370	defend
   	30371	30758	other
   	30759	30774	escape
   	30775	31899	other
   	31900	31926	general-sniffing
   	31927	31943	sniff_face
   	31944	31975	other
   	31976	31981	sniff_face
   	31982	32172	other
   	32173	32198	general-sniffing
   	32199	32899	other
   	32900	32907	sniff_face
   	32908	33268	other
   	33269	33282	sniff_face
   	33283	33298	other
   	33299	33308	flinch
   	33309	33360	escape
   	33361	34015	other
   	34016	34039	escape
   	34040	34100	other
   	34101	34143	follow_female
   	34144	34155	general-sniffing
   	34156	34938	other
   	34939	34966	approach
   	34967	35038	other
   	35039	35083	approach
   	35084	35112	other
   	35113	35121	general-sniffing
   	35122	35268	other
  
