Caltech Behavior Annotator - Annotation File

Configuration file:
other o
attack a
approach b
chasing c
dig d
escape e
general-sniffing f
sniff_genital p
sniff_face w
selfgrooming g
socialgrooming h
defend i
exploreobj j
climb k
follow l
mount m
biteobj n
flinch r
stand s
punch t
threaten u
interaction v
human_interfere x
tussling y

S1: start    end     type
   16223   16254    approach
   16255   16289    general-sniffing
   16290   16314    other
   16315   16327    general-sniffing
   16328   16337    flinch
   16338   16558    other
   16559   16604    approach
   16605   16610    sniff_face
   16611   16871    other
   16872   16888    flinch
   16889   16913    escape
   16914   17002    other
   17003   17047    approach
   17048   17062    general-sniffing
   17063   17066    sniff_face
   17067   17103    other
   17104   17104    sniff_face
   17105   17109    flinch
   17110   17129    escape
   17130   17152    selfgrooming
   17153   17345    other
   17346   17377    approach
   17378   17396    other
   17397   17401    sniff_face
   17402   17784    other
   17785   17803    dig
   17804   17853    other
   17854   17865    stand
   17866   17942    other
   17943   17970    dig
   17971   17985    other
   17986   18016    climb
   18017   18115    other
   18116   18158    stand
   18159   18191    other
   18192   18246    climb
   18247   18248    other
   18249   18290    approach
   18291   18299    general-sniffing
   18300   18390    other
   18391   18395    sniff_face
   18396   18482    other
   18483   18499    defend
   18500   18517    escape
   18518   18587    other
   18588   18604    stand
   18605   18629    selfgrooming
   18630   18645    other
   18646   18757    stand
   18758   18783    other
   18784   18803    stand
   18804   18865    other
   18866   18877    flinch
   18878   18910    other
   18911   19011    stand
   19012   19040    other
   19041   19077    stand
   19078   19143    other
   19144   19174    stand
   19175   19222    other
   19223   19267    stand
   19268   19288    other
   19289   19309    stand
   19310   19325    selfgrooming
   19326   19339    other
   19340   19396    stand
   19397   19491    other
   19492   19572    stand
   19573   19589    approach
   19590   19591    sniff_face
   19592   19888    other
   19889   19943    stand
   19944   20103    other
   20104   20137    stand
   20138   20243    other
   20244   20280    climb
   20281   20385    other
   20386   20414    defend
   20415   20454    other
   20455   20486    escape
   20487   20602    other
   20603   20647    stand
   20648   20852    other
   20853   20863    defend
   20864   20875    escape
   20876   20890    other
   20891   20937    stand
   20938   20992    other
   20993   21052    stand
   21053   21071    approach
   21072   21088    general-sniffing
   21089   21113    escape
   21114   21169    other
   21170   21203    selfgrooming
   21204   21223    other
   21224   21249    stand
   21250   21261    other
   21262   21269    sniff_face
   21270   21332    other
   21333   21353    escape
   21354   21385    other
   21386   21428    stand
   21429   21456    escape
   21457   21623    other
   21624   21678    stand
   21679   22428    other
   22429   22462    stand
   22463   22504    other
   22505   22559    stand
   22560   22578    other
   22579   22665    defend
   22666   22696    escape
   22697   22802    other
   22803   22861    stand
   22862   22874    other
   22875   22926    stand
   22927   22961    climb
   22962   23011    other
   23012   23061    stand
   23062   23081    other
   23082   23120    stand
   23121   23141    climb
   23142   23183    other
   23184   23253    selfgrooming
   23254   23316    stand
   23317   23533    other
   23534   23577    selfgrooming
   23578   23768    other
   23769   23796    stand
   23797   23885    other
   23886   23890    sniff_face
   23891   24229    other
   24230   24249    selfgrooming
   24250   24417    other
   24418   24429    sniff_face
   24430   24531    other
   24532   24604    stand
   24605   24651    other
   24652   24679    stand
   24680   24703    human_interfere
   24704   24854    other
   24855   24858    sniff_face
   24859   24874    escape
   24875   24898    other
   24899   24909    sniff_face
   24910   24920    flinch
   24921   24963    other
   24964   25012    stand
   25013   25039    other
   25040   25082    selfgrooming
   25083   25120    other
   25121   25257    selfgrooming
   25258   25279    escape
   25280   25338    stand
   25339   25463    other
   25464   25526    stand
   25527   25586    selfgrooming
   25587   25639    stand
   25640   25705    other
   25706   25751    stand
   25752   25857    other
   25858   25884    approach
   25885   25904    general-sniffing
